identifier,channelType,name,address,serviceURL,phone,email,hoursAvailable,processingTime
Ch0001,Γραφείο εξυπηρέτησης,"Πρεσβεία Αζερμπαϊτζάν","Μαραθονοδρόμων 13, 154 52, Ψυχικό",,"21 0724 8263",athens@mission.mfa.gov.az ,,
Ch0002,Γραφείο εξυπηρέτησης,"Πρεσβεία Αίγυπτου","Βασ.Σοφίας 3, Αθήνα Κέντρο",,"21 6000 2700",emb.egypt.athens@gmail.com ,,PD10
Ch0003,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στην Αίγυπτο","Σημεία ελέγχου μετανάστευσης στο αεροδρόμιο",,,,,
Ch0004,Αρχική σελίδα,"Ηλεκτρονική Visa Αιγύπτου",,https://www.visa2egypt.gov.eg,,,,PD7
Ch0005,Γραφείο εξυπηρέτησης,"Πρεσβεία Αιθιοπίας","Λεωφ. Συγγρού 253, Νέα Σμύρνη",,"21 0940 3483",info@fijiembassy.be,,
Ch0006,Γραφείο εξυπηρέτησης,"Προξενείο Αϊτής","Βασ. Σοφίας 26-28, Κηφισιά ",,"21 0612 3014",,,
Ch0007,Γραφείο εξυπηρέτησης,"Προξενείο Ακτής Ελεφαντοστού","Λυκείου 13, Αθήνα Κολωνάκι ",,"21 0721 6625",,,
Ch0008,Γραφείο εξυπηρέτησης,"Πρεσβεία Αλγερίας","Βασ. Κωνσταντίνου 14 & Ερατοσθένους, Παγκράτι",,"
21 0756 4191",,,
Ch0009,Γραφείο εξυπηρέτησης,"Πρεσβεία Αρμενίας","Παλαιολόγου 95, Χαλάνδρι",,"21 0683 1130",athens@mfa.am ,,
Ch0010,Γραφείο εξυπηρέτησης,"Πρεσβεία Αφγανιστάν","Πασσεμίνων  7, 154 52, Ψυχικό",,"21 0677 2188",athens@mfa.af ,,
Ch0011,Γραφείο εξυπηρέτησης,"Πρεσβεία Βιετνάμ","Διαμαντίδου 20, 154 52, Παλαιό Ψυχικό",,"21 0612 8733",vnemb.gr@mofa.gov.vn ,"Δευτέρα εώς Παρασκευή 07:30 π.μ - 16:30 μ.μ",PD3
Ch0012,Αρχική σελίδα,"Ηλεκτρονική Visa Βιετναμ",,https://evisa.xuatnhapcanh.gov.vn,,,,PD3
Ch0013,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στο Βιετναμ","Σημεία ελέγχου μετανάστευσης σε καθένα από τα τρία διεθνή αεροδρόμια του Βιετνάμ στο Ανόι, την πόλη Χο Τσι Μινχ ή το Ντα Νανγκ",,,,,
Ch0014,Γραφείο εξυπηρέτησης,"Προξενείο Βολιβίαs","Κοραή 5, Νέα Ερυθραία",,,,,
Ch0015,Γραφείο εξυπηρέτησης,"Επίτιμο Προξενείο Γκάνας"," Λεωφ. Συγγρού 367,  Παλαιό Φάληρο",,"21 0948 0700, 21 0948 0709",,,
Ch0016,Γραφείο εξυπηρέτησης,"Πρεσβεία Ινδίας","Κλεάνθους 3,  Αθήνα Κέντρο",,"21 0721 6227",embassy@indianembassy.gr ,"Δευτέρα εώς Παρασκεύη 8:30 π.μ – 13:00 μ.μ. & 1:30 μ.μ – 17:00 μ.μ. Παραλαβή αιτήσεων για προξενικές υπηρεσίες -9 π.μ.-11 π.μ. Ερωτήσεις σχετικά με υπηρεσίες visa 14:00 μ.μ - 15:00 μ.μ.
Παραλαβή visa 15: 30 - 16:30 ώρες",PD4
Ch0017,Αρχική σελίδα,"Ηλεκτρονικη Visa Ινδίας",,https://indianvisaonline.gov.in/evisa,,,,PD4
