<<<<<<< HEAD
identifier,name,description
ps0001,Έκδοση Ελληνικού Διαβατηρίου,"Διαβατήριο είναι το έγγραφο που εκδίδεται από τη Διεύθυνση Κρατικής Ασφάλειας του Αρχηγείου Ελληνικής Αστυνομίας με το οποίο ο κάτοχος μπορεί νόμιμα να εξέρχεται και να εισέρχεται στη Χώρα, μέσω των καθορισμένων για το σκοπό αυτό σημείων."
ps0002,Έκδοση Ευρωπαϊκής Κάρτα Ασφάλισης Ασθένειας,"Πρόκειται για μια δωρεάν κάρτα που προσφέρει πρόσβαση σε ιατροφαρμακευτική δημόσια περίθαλψη κατά την επίσκεψη ενός πολίτη στις χώρες της Ευρωπαϊκής Ένωσης, την Ισλανδία, το Λιχτενστάιν, τη Νορβηγία και την Ελβετία με τους ίδιους όρους που θα ίσχυαν αν ο πολίτης βρισκόταν στην χώρα του."
ps0003,Έκδοση Visa Αφγανιστάν,"Η Visa Αφγανιστάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0004,Έκδοση Visa Αρμενίας,"Η Visa Αρμενίας είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0005,Έκδοση Visa Αζερμπαϊτζάν,"Η Visa Αζερμπαϊτζάν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0006,Έκδοση Visa Μπουρούντι,"Η Visa Μπουρούντι είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0007,Έκδοση Visa Μπενίν,"Η Visa Μπενίν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0008,Έκδοση Visa Μπανγκλαντές,"Η Visa Μπανγκλαντές είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
ps0009,Έκδοση Visa Μπαχρέιν,"Η Visa Μπαχρέιν είναι ένα επίσημο ταξιδιωτικό έγγραφο που εκδίδεται από την χώρα και επιτρέπει στον κάτοχο της να εισέλθει στα εδάφη της, για ένα συγκεκριμένο χρονικό διάστημα."
