answer_id,evidence_id
A0006,EV0001
A0007,EV0001
A0008,EV0001
A0009,EV0001
A0005,EV0002
A0008,EV0002
A0009,EV0002
A0005,EV0003
A0006,EV0003
A0007,EV0003
A0002,EV0004
A0003,EV0004
A0004,EV0004
A0001,EV0005
A0003,EV0005
A0004,EV0005
A0001,EV0006
A0002,EV0006
A0004,EV0006
A0001,EV0007
A0002,EV0007
A0003,EV0007
A0006,EV0008
A0019,EV0008
A0005,EV0009
A0007,EV0009
A0008,EV0009
A0009,EV0009
A0019,EV0009
A0003,EV0011
A0006,EV0011
A0007,EV0011
A0008,EV0011
A0012,EV0011
A0016,EV0011
A0017,EV0011
A0003,EV0012
A0005,EV0012
A0009,EV0012
A0012,EV0012
A0016,EV0012
A0017,EV0012
A0001,EV0013
A0002,EV0013
A0004,EV0013
A0012,EV0013
A0016,EV0013
A0017,EV0013
A0013,EV0014
A0016,EV0014
A0017,EV0014
A0006,EV0015
A0014,EV0015
A0015,EV0015
A0017,EV0015
A0018,EV0016
A0001,EV0017
A0004,EV0017
A0001,EV0018
A0002,EV0018
A0003,EV0018
A0011,EV0019
A0005,EV0020
A0006,EV0021
A0007,EV0021
A0008,EV0021
A0009,EV0021
A0020,EV0021
A0005,EV0022
A0007,EV0022
A0008,EV0022
A0009,EV0022
A0020,EV0022
A0005,EV0023
A0006,EV0023
A0020,EV0023
A0022,EV0024
A0024,EV0025
A0018,EV0026
A0006,EV0027
A0007,EV0027
A0008,EV0027
A0009,EV0027
A0026,EV0027
A0013,EV0028
A0028,EV0029
A0001,EV0030
A0002,EV0030
A0003,EV0030
A0030,EV0030
A0006,EV0031
A0014,EV0031
