identifier,name
A0031,Ελληνας Πολίτης
A0032,Κάτοικος Ελλάδας χωρίς ελληνική Ιθαγένεια
A0033,Αλλοδαπός κατοίκος που ήταν Κινέζος  πολίτης κι έχει αποκτήσει ξένη υπηκοότητα - ΝΑΙ
A0034,Αλλοδαπός κατοίκος που ήταν Κινέζος  πολίτης κι έχει αποκτήσει ξένη υπηκοότητα - ΌΧΙ
A0035,Αλλοδαπός κατοίκος που ήταν Ινδός  πολίτης κι έχει αποκτήσει ξένη υπηκοότητα - ΝΑΙ
A0036,Αλλοδαπός κατοίκος που ήταν Ινδός  πολίτης κι έχει αποκτήσει ξένη υπηκοότητα - ΌΧΙ
A0037, Κάτοχος Διαβατηρίου 2ης Εθνικότητας - ΝΑΙ
A0038, Κάτοχος Διαβατηρίου 2ης Εθνικότητας - ΌΧΙ
A0039,Επίσκεψη για τουριστικούς λόγους - Τουριστική visa
A0040,Διέλευση από την χώρα - Transit visa
A0041,Διάρκεια Μέχρι 15 ημέρες
A0042,Διάρκεια Μέχρι 16 ημέρες
A0043,Διάρκεια Μέχρι 1 μήνα
A0044,Διάρκεια Μέχρι 2 μήνες
A0045,Διάρκεια Μέχρι 3 μήνες
A0046,Διάρκεια Μέχρι 6 μήνες
A0047,Διάρκεια Μέχρι 1 έτος
A0048,Διάρκεια Μέχρι 5 έτη
A0049,Μονής Διόδου
A0050,Πολλαπλής Διόδου
A0051,Έκδοση Urgent visa εντός μιας (1)  εως δύο (2) εργάσιμων ημέρων 
A0052,Έκδοση Express visa εντός τριών (3) εργάσιμων ημερών
A0053,Έκδοση Regular visa εντός τεσσάρων (4) εργάσιμων ημερών
A0054,Έκδοση Express visa εντός μιας (1)  εως τριών (3) εργάσιμων ημέρων
A0055,Έκδοση Regular visa εντός τεσσάρων (4)  εως είκοσι (20) εργάσιμων ημέρων
A0056,Ασφαλισμένος Πολίτης - ΝΑΙ
A0057,Ασφαλισμένος Πολίτης - ΟΧΙ
A0058,Φοιτητής - ΝΑΙ
A0059,Φοιτητής - ΟΧΙ
A0064,ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ 
A0065,ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ 
A0066,ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ
A0067,ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ
A0068,ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ 
A0069,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΑΣ 
A0070,ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ 
A0071,ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ 
A0072,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ
A0073,ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ
A0074,ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ
A0075,ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ 
A0076,ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ 
A0077,ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ 
A0078,ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ
A0079,ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ
A0080,ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΟΠΟΝΝΗΣΟΥ
A0081,ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ
A0082,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ
A0083,ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ
A0087,ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΟΝΙΚΗΣ 
A0088,ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ
A0089,ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
A0090,Ηλεκτρονική Visa
A0091,Έκδοση Visa στην Πρεσβεία
A0092,Έκδοση Visa κατά την άφιξη




