Ru_id,PS_id
Ru0001,ps0001
Ru0002,ps0001
Ru0003,ps0001
Ru0004,ps0001
Ru0005,ps0001
Ru0006,ps0001
Ru0007,ps0001
Ru0008,ps0001
Ru0009,ps0001
Ru0010,ps0001
Ru0011,ps0001
Ru0012,ps0001
Ru0013,ps0001
Ru0014,ps0001
Ru0015,ps0001
Ru0016,ps0001
Ru0017,ps0001
Ru0018,ps0001
Ru0019,ps0001
Ru0020,ps0001
Ru0021,ps0001
Ru0022,ps0001
Ru0023,ps0001
Ru0024,ps0001
Ru0025,ps0001
Ru0026,ps0001
Ru0027,ps0001
Ru0028,ps0001
Ru0029,ps0001
Ru0030,ps0001
Ru0031,ps0001
Ru0032,ps0001
Ru0033,ps0001
Ru0034,ps0001
Ru0035,ps0001
Ru0036,ps0001
Ru0037,ps0001
Ru0038,ps0001
Ru0039,ps0001
Ru0040,ps0001
Ru0041,ps0001
Ru0042,ps0001
Ru0043,ps0001
Ru0044,ps0001
Ru0045,ps0001
Ru0046,ps0001
Ru0047,ps0001
Ru0048,ps0001
Ru0049,ps0001
Ru0050,ps0001
Ru0051,ps0001
Ru0052,ps0001
Ru0053,ps0001
Ru0054,ps0014
Ru0055,ps0014
Ru0056,ps0014
Ru0057,ps0014
Ru0059,ps0067
Ru0060,ps0067
Ru0061,ps0067
Ru0062,ps0067
Ru0063,ps0067
Ru0064,ps0067
Ru0065,ps0067
Ru0066,ps0039
Ru0067,ps0039
Ru0068,ps0039
Ru0069,ps0039
Ru0070,ps0039
Ru0071,ps0039
Ru0072,ps0039
Ru0073,ps0025
Ru0074,ps0025
Ru0075,ps0025
Ru0076,ps0025
Ru0077,ps0025
Ru0078,ps0053
Ru0079,ps0020
Ru0080,ps0043
Ru0081,ps0082
Ru0082,ps0082
Ru0083,ps0082
Ru0084,ps0082
Ru0085,ps0044
Ru0086,ps0079
Ru0087,ps0052
Ru0088,ps0062
Ru0089,ps0062
Ru0090,ps0062
Ru0091,ps0062
Ru0092,ps0014|ps0025|ps0020|ps0039|ps0043|ps0044|ps0053|ps0067|ps0079|ps0082|ps0052|ps0062
Ru0093,ps0014|ps0025|ps0020|ps0039|ps0043|ps0044|ps0053|ps0067|ps0079|ps0082|ps0052|ps0062
Ru0094,ps0014|ps0025|ps0020|ps0039|ps0043|ps0044|ps0053|ps0067|ps0079|ps0082|ps0052
Ru0095,ps0062
Ru0096,ps0014|ps0025|ps0020|ps0039|ps0043|ps0044|ps0053|ps0067|ps0079|ps0082|ps0052|ps0062
Ru0097,ps0014|ps0025|ps0020|ps0039|ps0043|ps0044|ps0053|ps0067|ps0079|ps0082|ps0052|ps0062
Ru0098,ps0014
Ru0099,ps0039
Ru0100,ps0025
Ru0101,ps0052
Ru0102,ps0067
Ru0103,ps0020
Ru0104,ps0043
Ru0105,ps0082
Ru0106,ps0044
Ru0107,ps0053
Ru0108,ps0062
Ru0109,ps0079
Ru0110,ps0002
Ru0111,ps0002
Ru0112,ps0002
Ru0113,ps0002
Ru0114,ps0002
Ru0115,ps0002
Ru0116,ps0002
Ru0117,ps0002
Ru0118,ps0002
Ru0119,ps0002
Ru0120,ps0002
Ru0121,ps0002
Ru0122,ps0002
Ru0123,ps0002
Ru0124,ps0002
Ru0125,ps0002
Ru0126,ps0002
Ru0127,ps0002
Ru0128,ps0002
Ru0129,ps0002
Ru0130,ps0002
Ru0131,ps0002
Ru0132,ps0002
Ru0133,ps0002
Ru0134,ps0002
Ru0135,ps0002
Ru0136,ps0002
Ru0137,ps0002
Ru0138,ps0002
Ru0139,ps0002
Ru0140,ps0002
Ru0141,ps0002
Ru0142,ps0002
Ru0143,ps0002
Ru0144,ps0002
