<<<<<<< HEAD
﻿identifier,name,description,weight
Ou0001,Διαβατήριο με διάρκεια 5 έτη,Το διαβατήριο 5ετούς διάρκειας εκδίδεται για ενήλικους και για ανήλικους άνω των 14 ετών,6
Ou0002,Διαβατήριο με διάρκεια 3 έτη,Το διαβατήριο 3ετούς διάρκειας εκδίδεται για ανήλικους έως 14 ετών,5
Ou0003,Διαβατήριο με διάρκεια 13 μήνες,"Το διαβατήριο με διάρκεια 13 μήνες χορηγείται, κατ εξαίρεση, σε πολίτη που εμπίπτει στις διατάξεις απαγόρευση έκδοσης διαβατηρίου, όταν αυτή αίρεται  με δικαστική απόφαση ή εισαγγελική διάταξη ή εφόσον είναι αναγκαία η μετάβαση του στην αλλοδαπή για λόγους νοσηλείας, θανάτου ή σοβαρής ασθένειας.
",3
Ou0004,Διαβατήριο με διάρκεια 8 μήνες,Το διαβατήριο με διάρκεια 8 μήνες χορηγείται αποκλειστικά και μόνο για τις περιπτώσεις που η λήψη δακτυλικών αποτυπωμάτων είναι προσωρινά αδύνατη,2
Ou0005,Διαβατήριο με διάρκεια 3 μήνες,"Το διαβατήριο με διάρκεια 3 μήνες χορηγείται στις
περιπτώσεις μεταγωγή κρατουμένου από σωφρονιστικό κατάστημα της αλλοδαπής στην ημεδαπή και αντιστρόφως",1
Ou0006,Διαβατήριο με διάρκεια ίδια με αυτού που αντικαθίσταται,Το διαβατήριο με διάρκεια ίδια αυτού που αντικαθίσταται χορηγείται στις περιπτώσεις αντικατάστασης διαβατηρίου.,4
=======
﻿identifier,name,description,weight
Ou0001,Διαβατήριο με διάρκεια 5 έτη,Το διαβατήριο 5ετούς διάρκειας εκδίδεται για ενήλικους και για ανήλικους άνω των 14 ετών,6
Ou0002,Διαβατήριο με διάρκεια 3 έτη,Το διαβατήριο 3ετούς διάρκειας εκδίδεται για ανήλικους έως 14 ετών,5
Ou0003,Διαβατήριο με διάρκεια 13 μήνες,"Το διαβατήριο με διάρκεια 13 μήνες χορηγείται, κατ εξαίρεση, σε πολίτη που εμπίπτει στις διατάξεις απαγόρευση έκδοσης διαβατηρίου, όταν αυτή αίρεται  με δικαστική απόφαση ή εισαγγελική διάταξη ή εφόσον είναι αναγκαία η μετάβαση του στην αλλοδαπή για λόγους νοσηλείας, θανάτου ή σοβαρής ασθένειας.
",3
Ou0004,Διαβατήριο με διάρκεια 8 μήνες,Το διαβατήριο με διάρκεια 8 μήνες χορηγείται αποκλειστικά και μόνο για τις περιπτώσεις που η λήψη δακτυλικών αποτυπωμάτων είναι προσωρινά αδύνατη,2
Ou0005,Διαβατήριο με διάρκεια 3 μήνες,"Το διαβατήριο με διάρκεια 3 μήνες χορηγείται στις
περιπτώσεις μεταγωγή κρατουμένου από σωφρονιστικό κατάστημα της αλλοδαπής στην ημεδαπή και αντιστρόφως",1
Ou0006,Διαβατήριο με διάρκεια ίδια με αυτού που αντικαθίσταται,Το διαβατήριο με διάρκεια ίδια αυτού που αντικαθίσταται χορηγείται στις περιπτώσεις αντικατάστασης διαβατηρίου.,4
>>>>>>> 0da209a65d0dd8ad87df09e1cf051509219da58b
