identifier,name,description
Ev0032,Διαβατήριο,"Το πρωτότυπο διαβατήριο με εξάμηνη προθεσμία μετά τη λήξη της βίζας και τουλάχιστον 2 κενές σελίδες καθώς και μια φωτοτυπία αυτού - της σελίδας που αναγράφονται τα στοιχεία διαβατηρίου και την φωτογραφία σε περίπτωση που είναι σε ξεχωριστή σελίδα."
Ev0033,Έντυπο αίτησης για βίζα με προσαρτώμενη φωτογραφία,Πλήρως συμπληρωμένη την αίτηση για βίζα με μια πρόσφατη έγχρωμη φωτογραφία διαβατηρίου (πρόσωπο χωρίς γυαλιά, καπέλο, να φαίνεται όλο το πρόσωπο) σε λευκό φόντο. (κανένα είδους αντίγραφο - φωτοτυπημένη, ηλεκτρονική ή σκαναρισμένη).
Ev0034,Νόμιμη διαμονή ή άδεια Παραμονής εν ισχύ,Αν δεν κάνετε την αίτηση για βίζα στη χώρα σας, θα πρέπει να προσκομίσετε το πρωτότυπο και μια φωτοτυπία της έγκυρης βίζας ή πιστοποιητικού διαμονής, ή άδεια παραμονής, άδειας εργασίας, ή φοιτητικής διαμονής, ή οποιουδήποτε άλλου πιστοποιητικού νόμιμης διαμονής από τις σχετικές αρμόδιες αρχές της εν λόγω χώρα που προς το παρόν διαμένετε. 
Ev0035,Φωτοτυπία του προηγούμενου Κινεζικού διαβατηρίου ή προηγούμενης Κινεζικής βίζας,Αν αιτήστε Κινεζική βίζα για πρώτη φορά, θα πρέπει να προσκομίσετε το προηγούμενο Κινέζικο διαβατήριο καθώς και μια φωτοτυπία της σελίδας με τα στοιχεία του. Αν έχετε ξαναπάρει Κινέζικη βίζα και θέλετε να βγάλετε βίζα με ανανεωμένο ξένο διαβατήριο που δεν εμπεριέχει Κινέζικη βίζα, θα πρέπει να προσκομίσετε μια φωτοτυπία του προηγούμενου διαβατηρίου καθώς και τη φωτογραφία αν είναι σε ξεχωριστή σελίδα καθώς και μια φωτοτυπία της προηγούμενης κινεζικής βίζας. (Σε περίπτωση που το όνομα αλλάζει στο νέο διαβατήριο, θα πρέπει να προσκομίσετε ένα επίσημο έγγραφο για την αλλαγή του ονόματος.)
Ev0036,"Έντυπα που επιδεικνύουν το πρόγραμμα του ταξιδιού συμπεριλαμβανομένου αεροπορικά εισιτήρια (μετ’ επιστροφής) ή επιβεβαίωση κράτησης ξενοδοχείου, κλπ. ή μια πρόσκληση από τον ανάλογο φορέα ή πρόσωπο στην Κίνα.

","Η πρόσκληση θα πρέπει να αναφέρει : 1. πληροφορίες του αιτούντα (πλήρες όνομα, φύλλο ημερομηνία γέννησης κλπ)
2. πληροφορίες για την προγραμματισμένη επίσκεψη (ημερομηνίες άφιξης και αναχώρησης μέρη που πρόκειται να επισκεφτείτε)
3. πληροφορίες του φορέα ή του προσώπου που σας προσκαλεί (επωνυμία, τηλέφωνα επικοινωνίας, επίσημη σφραγίδα, υπογραφή του νόμιμου εκπροσώπου ή του ανθρώπου που σας προσκαλεί)
"
Ev0037,Εισιτήριο με ανταπόκριση (αεροπλάνου, τρένου ή πλοίου),Με επιβεβαιωμένες ημερομηνίες και θέση για τη χώρα ή περιοχή προορισμού
Ev0038,Διαβατήριο,"Πρωτότυπο διαβατήριο το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης. 
Σάρωση των σελίδων του διαβατηρίου σας. Αυτή είναι η αριστερή σελίδα του διαβατηρίου με τα προσωπικά σας στοιχεία ΚΑΙ η δεξιά σελίδα με την υπογραφή σας. Η φωτοτυπία πρέπει να είναι έγχρωμη
"
Ev0039,Ηλεκτρονικό έντυπο αίτησης,Ορθώς και πλήρως συμπληρωμένη ηλεκτρονική αίτηση.
Ev0040,Έγχρωμη φωτογραφία ,Φωτογραφία σε ψηφιακή μορφή, που συμμορφώνεται ιδανικά με τα πρότυπα φωτογραφίας διαβατηρίου: η φωτογραφία πρέπει να είναι καθαρή, χωρίς πτυχώσεις ή σημάδια και πρέπει να είναι υπερβολική ή υποέκθεση. Θα πρέπει να έχει καλή αντίθεση, χωρίς σκιές στο πρόσωπο ή στο φόντο. Μπορεί να είναι τετράγωνο ή ορθογώνιο. Πρέπει να είναι πρόσφατη και να μοιάζει με τη φωτογραφία διαβατηρίου.
Ev0041,Στοιχεία Διαμονής,Δεν απαιτείται voucher.
