Ou_id,Country_id
Ou0007,Cvsp0020|Cvsp0023|Cvsp0028|Cvsp0089|Cvsp0070|Cvsp0074|Cvsp0105|Cvsp0082|Cvsp0123|Cvsp0081|Cvsp0128|Cvsp0186|Cvsp0115|Cvsp0067|Cvsp0152|Cvsp0150|Cvsp0151|Cvsp0165|Cvsp0117|Cvsp0202|Cvsp0205|Cvsp0213|Cvsp0236|Cvsp0237|Cvsp0238|Cvsp0068|Cvsp0085|Cvsp0126|Cvsp0147|Cvsp0187|Cvsp0048
Ou0008,Cvsp0050
Ou0009,Cvsp0050
Ou0010,Cvsp0214
Ou0011,Cvsp0214
Ou0012,Cvsp0214
Ou0013,Cvsp0121
Ou0014,Cvsp0121
Ou0015,Cvsp0121
Ou0016,Cvsp0121
Ou0017,Cvsp0078
Ou0018,Cvsp0078
Ou0020,Cvsp0078
Ou0021,Cvsp0159
Ou0022,Cvsp0063
Ou0023,Cvsp0131
Ou0024,Cvsp0131
Ou0025,Cvsp0131
Ou0026,Cvsp0131
Ou0027,Cvsp0131
Ou0028,Cvsp0271
Ou0029,Cvsp0271
Ou0030,Cvsp0271
Ou0031,Cvsp0271
Ou0032,Cvsp0135
Ou0033,Cvsp0135
Ou0034,Cvsp0135
Ou0035,Cvsp0158
Ou0036,Cvsp0158
Ou0037,Cvsp0158
Ou0038,Cvsp0188
Ou0039,Cvsp0188
Ou0040,Cvsp0188
Ou0041,Cvsp0258
Ou0042,Cvsp0258
Ou0001,Cvsp0105
Ou0002,Cvsp0105
Ou0003,Cvsp0105
Ou0004,Cvsp0105
Ou0005,Cvsp0105
Ou0006,Cvsp0105
