identifier,name,preferredLabel
po0001,Ελληνική Αστυνομία,ΕΛ.ΑΣ
po0002,Εθνικός Φορέας Κοινωνικής Ασφάλισης,ΕΦΚΑ
po0003,Υπουργείο Παιδείας & Θρησκευμάτων Ελλάδας,Υ.ΠΑΙ.Θ
po0004,Υπουργείο Εξωτερικών Αφγανιστάν,ΥΠ.ΕΞ Αφγανιστάν
po0005,Υπουργείο Εξωτερικών Αρμενίας,ΥΠ.ΕΞ Αρμενίας
po0006,Υπουργείο Εξωτερικών Αζερμπαϊτζάν,ΥΠ.ΕΞ Αζερμπαϊτζάν
po0007,Υπουργείο Εξωτερικών Μπουρούντι,ΥΠ.ΕΞ Μπουρούντι
po0008,Υπουργείο Εξωτερικών Μπενίν,ΥΠ.ΕΞ Μπενίν
po0009,Υπουργείο Εξωτερικών Μπανγκλαντές,ΥΠ.ΕΞ Μπανγκλαντές
po0010,Υπουργείο Εξωτερικών Μπαχρέιν,ΥΠ.ΕΞ Μπαχρέιν
po0011,Υπουργείο Εξωτερικών Βολιβίαs,ΥΠ.ΕΞ Βολιβίαs
po0012,Υπουργείο Εξωτερικών Μπουτάν,ΥΠ.ΕΞ Μπουτάν
po0013,Υπουργείο Εξωτερικών Μποτσουάνα,ΥΠ.ΕΞ Μποτσουάνα
po0014,Υπουργείο Εξωτερικών Κεντροαφρικανικής Δημοκρατίας,ΥΠ.ΕΞ Κεντροαφρικανικής Δημοκρατίας
po0015,Υπουργείο Εξωτερικών Κίνας,ΥΠ.ΕΞ Κίνας
po0016,Υπουργείο Εξωτερικών Ακτής Ελεφαντοστού,ΥΠ.ΕΞ Ακτής Ελεφαντοστού
po0017,Υπουργείο Εξωτερικών Καμερούν,ΥΠ.ΕΞ Καμερούν
po0018,Υπουργείο Εξωτερικών Κονγκό,ΥΠ.ΕΞ Κονγκό
po0019,Υπουργείο Εξωτερικών Κομόρες,ΥΠ.ΕΞ Κομόρες
po0020,Υπουργείο Εξωτερικών Πράσινου Ακρωτήριου,ΥΠ.ΕΞ Πράσινου Ακρωτήριου
po0021,Υπουργείο Εξωτερικών Κούβας,ΥΠ.ΕΞ Κούβας
po0022,Υπουργείο Εξωτερικών Τζιμπουτί,ΥΠ.ΕΞ Τζιμπουτί
po0023,Υπουργείο Εξωτερικών Δομινικανής Δημοκρατίας,ΥΠ.ΕΞ Δομινικανής Δημοκρατίας
po0024,Υπουργείο Εξωτερικών Αλγερίας,ΥΠ.ΕΞ Αλγερίας
po0025,Υπουργείο Εξωτερικών Ισημερινού,ΥΠ.ΕΞ Ισημερινού
po0026,Υπουργείο Εξωτερικών Αίγυπτου,ΥΠ.ΕΞ Αίγυπτου
po0027,Υπουργείο Εξωτερικών Ερυθραίας,ΥΠ.ΕΞ Ερυθραίας
po0028,Υπουργείο Εξωτερικών Αιθιοπίας,ΥΠ.ΕΞ Αιθιοπίας
po0029,Υπουργείο Εξωτερικών Φίτζι,ΥΠ.ΕΞ Φίτζι
po0030,Υπουργείο Εξωτερικών Γκαμπόν,ΥΠ.ΕΞ Γκαμπόν
po0031,Υπουργείο Εξωτερικών Γκάνας,ΥΠ.ΕΞ Γκάνας
po0032,Υπουργείο Εξωτερικών Γουινέας,ΥΠ.ΕΞ Γουινέας
po0033,Υπουργείο Εξωτερικών Γουινέας Μπισάου,ΥΠ.ΕΞ Γουινέας Μπισάου
po0034,Υπουργείο Εξωτερικών Ισημερινής Γουινέας,ΥΠ.ΕΞ Ισημερινής Γουινέας
po0035,Υπουργείο Εξωτερικών Γκάμπια,ΥΠ.ΕΞ Γκάμπια
po0036,Υπουργείο Εξωτερικών Γαλλικής Γουιάνας,ΥΠ.ΕΞ Γαλλικής Γουιάνας
po0037,Υπουργείο Εξωτερικών Συνεργατικής Δημοκρατίας της Γουιάνα,ΥΠ.ΕΞ Συνεργατικής Δημοκρατίας της Γουιάνα
po0038,Υπουργείο Εξωτερικών Αϊτής,ΥΠ.ΕΞ Αϊτής
po0039,Υπουργείο Εξωτερικών Ινδονησίας,ΥΠ.ΕΞ Ινδονησίας
po0040,Υπουργείο Εξωτερικών Ινδίας,ΥΠ.ΕΞ Ινδίας
po0041,Υπουργείο Εξωτερικών Ιράν,ΥΠ.ΕΞ Ιράν
po0042,Υπουργείο Εξωτερικών Ιράκ,ΥΠ.ΕΞ Ιράκ
po0043,Υπουργείο Εξωτερικών Τζαμάικας,ΥΠ.ΕΞ Τζαμάικας
po0044,Υπουργείο Εξωτερικών Ιορδανίας,ΥΠ.ΕΞ Ιορδανίας
po0045,Υπουργείο Εξωτερικών Κένυας,ΥΠ.ΕΞ Κένυας
po0046,Υπουργείο Εξωτερικών Καμπότζης,ΥΠ.ΕΞ Καμπότζης
po0047,Υπουργείο Εξωτερικών Κουβέιτ,ΥΠ.ΕΞ Κουβέιτ
po0048,Υπουργείο Εξωτερικών Λάος,ΥΠ.ΕΞ Λάος
po0049,Υπουργείο Εξωτερικών Λίβανου,ΥΠ.ΕΞ Λίβανου
po0050,Υπουργείο Εξωτερικών Λιβερίας,ΥΠ.ΕΞ Λιβερίας
po0051,Υπουργείο Εξωτερικών Λιβύης,ΥΠ.ΕΞ Λιβύης
po0052,Υπουργείο Εξωτερικών Σρι Λάνκα,ΥΠ.ΕΞ Σρι Λάνκα
po0053,Υπουργείο Εξωτερικών Μαδαγασκάρης,ΥΠ.ΕΞ Μαδαγασκάρης
po0054,Υπουργείο Εξωτερικών Μαλδίβων,ΥΠ.ΕΞ Μαλδίβων
po0055,Υπουργείο Εξωτερικών Μάλι,ΥΠ.ΕΞ Μάλι
po0056,Υπουργείο Εξωτερικών Μογγολίας,ΥΠ.ΕΞ Μογγολίας
po0057,Υπουργείο Εξωτερικών Μοζαμβίκης,ΥΠ.ΕΞ Μοζαμβίκης
po0058,Υπουργείο Εξωτερικών Μαυριτανίας,ΥΠ.ΕΞ Μαυριτανίας
po0059,Υπουργείο Εξωτερικών Μαλάουι,ΥΠ.ΕΞ Μαλάουι
po0060,Υπουργείο Εξωτερικών Ναμίμπιας,ΥΠ.ΕΞ Ναμίμπιας
po0061,Υπουργείο Εξωτερικών Νίγηρα,ΥΠ.ΕΞ Νίγηρα
po0062,Υπουργείο Εξωτερικών Νιγηρίας,ΥΠ.ΕΞ Νιγηρίας
po0063,Υπουργείο Εξωτερικών Νεπάλ,ΥΠ.ΕΞ Νεπάλ
po0064,Υπουργείο Εξωτερικών Ναουρού,ΥΠ.ΕΞ Ναουρού
po0065,Υπουργείο Εξωτερικών Ομάν,ΥΠ.ΕΞ Ομάν
po0066,Υπουργείο Εξωτερικών Πακιστάν,ΥΠ.ΕΞ Πακιστάν
po0067,Υπουργείο Εξωτερικών Κατάρ,ΥΠ.ΕΞ Κατάρ
po0068,Υπουργείο Εξωτερικών Ρωσίας,ΥΠ.ΕΞ Ρωσίας
po0069,Υπουργείο Εξωτερικών Ρουάντας,ΥΠ.ΕΞ Ρουάντας
po0070,Υπουργείο Εξωτερικών Σαουδικής Αραβίας,ΥΠ.ΕΞ Σαουδικής Αραβίας
po0071,Υπουργείο Εξωτερικών Σουδάν,ΥΠ.ΕΞ Σουδάν
po0072,Υπουργείο Εξωτερικών Σενεγάλης,ΥΠ.ΕΞ Σενεγάλης
po0073,Υπουργείο Εξωτερικών Σομαλίας,ΥΠ.ΕΞ Σομαλίας
po0074,Υπουργείο Εξωτερικών Σουρινάμ,ΥΠ.ΕΞ Σουρινάμ
po0075,Υπουργείο Εξωτερικών Συρίας,ΥΠ.ΕΞ Συρίας
po0076,Υπουργείο Εξωτερικών Τσαντ,ΥΠ.ΕΞ Τσαντ
po0077,Υπουργείο Εξωτερικών Τόγκο,ΥΠ.ΕΞ Τόγκο
po0078,Υπουργείο Εξωτερικών Τατζικιστάν,ΥΠ.ΕΞ Τατζικιστάν
po0079,Υπουργείο Εξωτερικών Τουρκμενιστάν,ΥΠ.ΕΞ Τουρκμενιστάν
po0080,Υπουργείο Εξωτερικών Τανζανίας,ΥΠ.ΕΞ Τανζανίας
po0081,Υπουργείο Εξωτερικών Ουγκάντα,ΥΠ.ΕΞ Ουγκάντα
po0082,Υπουργείο Εξωτερικών Ουζμπεκιστάν,ΥΠ.ΕΞ Ουζμπεκιστάν
po0083,Υπουργείο Εξωτερικών Βιετνάμ,ΥΠ.ΕΞ  Βιετνάμ
po0084,Υπουργείο Εξωτερικών Υεμένης,ΥΠ.ΕΞ Υεμένης
po0085,Υπουργείο Εξωτερικών Ζάμπια,ΥΠ.ΕΞ Ζάμπια
po0086,Υπουργείο Εξωτερικών Ζιμπάμπουε,ΥΠ.ΕΞ Ζιμπάμπουε
